Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time
Shipment,MOTHERHUB_GAU-AGARTALAHUB_IXA-p,26.043197,91.705232,23.8315,91.2868,MOTHERHUB_GAU,AGARTALAHUB_IXA,72000,409,0
Shipment,MOTHERHUB_GAU-AGARTALAHUB_IXA-c,26.043197,91.705232,23.8315,91.2868,MOTHERHUB_GAU,AGARTALAHUB_IXA,72000,282,14400
Shipment,MOTHERHUB_GAU-BONGAIGAONHUB_BGG-p,26.043197,91.705232,26.500999,90.535236,MOTHERHUB_GAU,BONGAIGAONHUB_BGG,72000,165,0
Shipment,MOTHERHUB_GAU-BONGAIGAONHUB_BGG-c,26.043197,91.705232,26.500999,90.535236,MOTHERHUB_GAU,BONGAIGAONHUB_BGG,72000,241,14400
Shipment,MOTHERHUB_GAU-DIBRUGARHHUB_DIB-p,26.043197,91.705232,27.461571,94.918297,MOTHERHUB_GAU,DIBRUGARHHUB_DIB,72000,422,0
Shipment,MOTHERHUB_GAU-DIBRUGARHHUB_DIB-c,26.043197,91.705232,27.461571,94.918297,MOTHERHUB_GAU,DIBRUGARHHUB_DIB,72000,275,14400
Shipment,MOTHERHUB_GAU-DULIAJANHUB_DLN-p,26.043197,91.705232,27.3667,95.3167,MOTHERHUB_GAU,DULIAJANHUB_DLN,72000,138,0
Shipment,MOTHERHUB_GAU-DULIAJANHUB_DLN-c,26.043197,91.705232,27.3667,95.3167,MOTHERHUB_GAU,DULIAJANHUB_DLN,72000,205,14400
Shipment,MOTHERHUB_GAU-GANGTOKHUB_GGT-p,26.043197,91.705232,27.312638,88.595769,MOTHERHUB_GAU,GANGTOKHUB_GGT,72000,218,0
Shipment,MOTHERHUB_GAU-GANGTOKHUB_GGT-c,26.043197,91.705232,27.312638,88.595769,MOTHERHUB_GAU,GANGTOKHUB_GGT,72000,210,14400
Shipment,MOTHERHUB_GAU-JORHATHUB_JRH-p,26.043197,91.705232,26.7465,94.2026,MOTHERHUB_GAU,JORHATHUB_JRH,72000,890,0
Shipment,MOTHERHUB_GAU-JORHATHUB_JRH-c,26.043197,91.705232,26.7465,94.2026,MOTHERHUB_GAU,JORHATHUB_JRH,72000,179,14400
Shipment,MOTHERHUB_GAU-NAGAONHUB_NGN-p,26.043197,91.705232,26.2006043,92.9375739,MOTHERHUB_GAU,NAGAONHUB_NGN,72000,195,0
Shipment,MOTHERHUB_GAU-NAGAONHUB_NGN-c,26.043197,91.705232,26.2006043,92.9375739,MOTHERHUB_GAU,NAGAONHUB_NGN,72000,308,14400
Shipment,MOTHERHUB_GAU-NORTHLAKHIMPURHUB_NLP-p,26.043197,91.705232,27.232028,94.096028,MOTHERHUB_GAU,NORTHLAKHIMPURHUB_NLP,72000,197,0
Shipment,MOTHERHUB_GAU-NORTHLAKHIMPURHUB_NLP-c,26.043197,91.705232,27.232028,94.096028,MOTHERHUB_GAU,NORTHLAKHIMPURHUB_NLP,72000,291,14400
Shipment,MOTHERHUB_GAU-SHILLONGHUB_SHL-p,26.043197,91.705232,25.565616,91.882242,MOTHERHUB_GAU,SHILLONGHUB_SHL,72000,956,0
Shipment,MOTHERHUB_GAU-SHILLONGHUB_SHL-c,26.043197,91.705232,25.565616,91.882242,MOTHERHUB_GAU,SHILLONGHUB_SHL,72000,132,14400
Shipment,MOTHERHUB_GAU-SIBSAGARHUB_SBS-p,26.043197,91.705232,26.98261,94.642452,MOTHERHUB_GAU,SIBSAGARHUB_SBS,72000,294,0
Shipment,MOTHERHUB_GAU-SIBSAGARHUB_SBS-c,26.043197,91.705232,26.98261,94.642452,MOTHERHUB_GAU,SIBSAGARHUB_SBS,72000,279,14400
Shipment,MOTHERHUB_GAU-SILCHARHUB_IXS-p,26.043197,91.705232,24.8333,92.7789,MOTHERHUB_GAU,SILCHARHUB_IXS,72000,310,0
Shipment,MOTHERHUB_GAU-SILCHARHUB_IXS-c,26.043197,91.705232,24.8333,92.7789,MOTHERHUB_GAU,SILCHARHUB_IXS,72000,217,14400
Shipment,MOTHERHUB_GAU-TEZPURHUB_TZR-p,26.043197,91.705232,26.62778,92.789712,MOTHERHUB_GAU,TEZPURHUB_TZR,72000,158,0
Shipment,MOTHERHUB_GAU-TEZPURHUB_TZR-c,26.043197,91.705232,26.62778,92.789712,MOTHERHUB_GAU,TEZPURHUB_TZR,72000,246,14400
Shipment,MOTHERHUB_GAU-TINSUKIAHUB_TSK-p,26.043197,91.705232,27.49075,95.36452,MOTHERHUB_GAU,TINSUKIAHUB_TSK,72000,209,0
Shipment,MOTHERHUB_GAU-TINSUKIAHUB_TSK-c,26.043197,91.705232,27.49075,95.36452,MOTHERHUB_GAU,TINSUKIAHUB_TSK,72000,310,14400
